Data da Venda,Categoria do Produto,Quantidade em Estoque,Filial,Nome do Produto,Preço do Produto (R$)
indisponivel,Eletrodomésticos,7,Filial 7,Blush em pó,79.41
indisponivel,Eletrodomésticos,78,Filial 8,Lápis de sobrancelha,85.47
indisponivel,Roupas,34,Filial 8,Base líquida,75.02
indisponivel,Roupas,90,Filial 10,Base líquida,44.94
indisponivel,Alimentos,91,Filial 7,Lápis de sobrancelha,58.63
indisponivel,Roupas,77,Filial 7,Blush em pó,50.79
indisponivel,Eletrodomésticos,2,Filial 4,Corretivo,20.46
indisponivel,Roupas,37,Filial 9,Pó compacto,85.56
indisponivel,Roupas,56,Filial 8,Sombra de olhos,31.92
indisponivel,Alimentos,8,Filial 3,Delineador líquido,42.58
indisponivel,Eletrodomésticos,10,Filial 8,Corretivo,92.03
indisponivel,Roupas,95,Filial 8,Lápis de sobrancelha,91.01
indisponivel,Eletrônicos,85,Filial 7,Delineador líquido,40.01
indisponivel,Alimentos,90,Filial 4,Base líquida,37.56
indisponivel,Roupas,82,Filial 6,Blush em pó,9.93
indisponivel,Eletrônicos,42,Filial 2,Batom matte,80.34
indisponivel,Alimentos,13,Filial 7,Pó compacto,67.77
indisponivel,Roupas,20,Filial 3,Batom matte,94.63
indisponivel,Roupas,8,Filial 1,Corretivo,67.85
indisponivel,Eletrônicos,8,Filial 1,Sombra de olhos,54.05
indisponivel,Alimentos,65,Filial 8,Máscara de cílios,93.16
indisponivel,Roupas,66,Filial 9,Sombra de olhos,44.13
indisponivel,Roupas,60,Filial 6,Sombra de olhos,41.87
indisponivel,Eletrônicos,57,Filial 3,Lápis de sobrancelha,49.69
indisponivel,Alimentos,17,Filial 5,Lápis de sobrancelha,3.77
indisponivel,Eletrônicos,36,Filial 5,Máscara de cílios,37.85
indisponivel,Eletrônicos,99,Filial 5,Pó compacto,80.5
indisponivel,Eletrônicos,34,Filial 9,Base líquida,61.89
indisponivel,Eletrônicos,19,Filial 5,Lápis de sobrancelha,79.26
indisponivel,Alimentos,100,Filial 4,Pó compacto,72.19
indisponivel,Eletrodomésticos,56,Filial 9,Batom matte,22.05
indisponivel,Eletrodomésticos,77,Filial 7,Blush em pó,69.91
indisponivel,Eletrônicos,18,Filial 10,Pó compacto,60.83
indisponivel,Alimentos,98,Filial 5,Sombra de olhos,55.75
indisponivel,Eletrônicos,53,Filial 5,Sombra de olhos,22.32
indisponivel,Alimentos,35,Filial 2,Base líquida,60.37
indisponivel,Alimentos,78,Filial 9,Batom matte,15.07
indisponivel,Eletrônicos,63,Filial 4,Base líquida,67.92
indisponivel,Eletrônicos,83,Filial 3,Pó compacto,84.48
indisponivel,Eletrônicos,40,Filial 1,Corretivo,70.08
indisponivel,Roupas,23,Filial 9,Pó compacto,25.96
indisponivel,Alimentos,84,Filial 1,Batom matte,40.67
indisponivel,Alimentos,74,Filial 4,Sombra de olhos,83.64
indisponivel,Eletrodomésticos,12,Filial 1,Pó compacto,26.06
indisponivel,Eletrodomésticos,51,Filial 4,Sombra de olhos,58.83
indisponivel,Alimentos,57,Filial 5,Blush em pó,48.5
indisponivel,Roupas,87,Filial 5,Pó compacto,75.61
indisponivel,Eletrônicos,20,Filial 6,Máscara de cílios,62.89
indisponivel,Eletrodomésticos,68,Filial 6,Sombra de olhos,31.04
indisponivel,Eletrodomésticos,63,Filial 7,Máscara de cílios,34.19
indisponivel,Eletrodomésticos,48,Filial 9,Base líquida,78.59
indisponivel,Eletrodomésticos,98,Filial 6,Sombra de olhos,49.33
indisponivel,Eletrônicos,1,Filial 2,Lápis de sobrancelha,5.84
indisponivel,Roupas,25,Filial 10,Delineador líquido,18.88
indisponivel,Eletrônicos,37,Filial 8,Lápis de sobrancelha,40.34
indisponivel,Eletrodomésticos,45,Filial 4,Sombra de olhos,80.61
indisponivel,Eletrônicos,83,Filial 8,Lápis de sobrancelha,41.92
indisponivel,Eletrodomésticos,42,Filial 9,Corretivo,49.24
indisponivel,Roupas,35,Filial 4,Base líquida,37.93
indisponivel,Alimentos,73,Filial 3,Lápis de sobrancelha,24.28
indisponivel,Eletrodomésticos,24,Filial 2,Delineador líquido,28.68
indisponivel,Eletrônicos,65,Filial 1,Base líquida,90.32
indisponivel,Eletrodomésticos,6,Filial 3,Batom líquido,7.99
indisponivel,Eletrodomésticos,80,Filial 9,Base líquida,41.99
indisponivel,Roupas,95,Filial 8,Corretivo,14.31
indisponivel,Alimentos,19,Filial 3,Lápis de sobrancelha,58.45
indisponivel,Roupas,68,Filial 4,Delineador líquido,20.89
indisponivel,Eletrodomésticos,28,Filial 2,Pó compacto,64.0
indisponivel,Eletrodomésticos,60,Filial 3,Pó compacto,11.42
indisponivel,Eletrodomésticos,61,Filial 7,Batom líquido,72.36
indisponivel,Eletrônicos,13,Filial 10,Máscara de cílios,65.02
indisponivel,Eletrodomésticos,11,Filial 2,Pó compacto,75.26
